,"Project title",Country,"Project status",Themes,"Multi sites","Bank and bed modifications measure","River corridor measure","Channel pattern measure","Other technical measure","Management interventions","Social measure","Wider engagement measure"
"Case study:Restoration of the stream of the Partido","Restoration of the stream of the Partido",Spain,Complete,"Flood risk management,Habitat and biodiversity,Water quality",No,"Elimination of the pipeline on the left bank,Removal of sediment,Revetmens with local species","Habitat restoration","Improvement of channel morphology",,,"Comprehensive environmental restoration of a large area in contact with the National Park",
"Case study:Restoration project in Verde River","Restoration project in Verde River",Spain,Complete,"Environmental flows and water resources,Fisheries,Habitat and biodiversity,Hydromorphology,Social benefits",No,"Recess side slopes,Barrier removal","Removal of exotic plants,Elimination of structural elements concreted","Removal of speckles",,"Improve forest management and agricultural",,
"Case study:Restoration project of the degraded area of the Molí source environment and improvement of river areas and adjacent riparian formations","Restoration project of the degraded area of the Molí source environment and improvement of river areas and adjacent riparian formations",Spain,Complete,"Habitat and biodiversity,Hydromorphology",No,"New bioengineering elements in order to stabilize slope banks,Bank stabilisation,Bank protection","Restoring riparian vegetation",,,,,
"Case study:Restoration project of the river area of the streams of Vallmanya and Reixac","Restoration project of the river area of the streams of Vallmanya and Reixac",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"New bioengineering elements in order to stabilize slope banks,Revetmens with local species","Removal of exotic plants,Restoring riparian vegetation",,,,,
"Case study:Restoring connectivity of the ecological corridor in the Biała River valley","Restoring connectivity of the ecological corridor in the Biała River valley",Poland,Complete,"Fisheries,Habitat and biodiversity",No,"Restoring riparian vegetation,Bank stabilisation","Restoring riparian vegetation","Removing barriers to water organisms migration in the river","Reintroducing salmon population to the river,Restoring integrity and re-colonization of the bivalve population in the river basin,Restoring the continuity of amphibian populations in the river valley",,,
"Case study:Rfff",Rfff,Netherlands,Complete,,Yes,,,,,,,
"Case study:Riparia-Ter - Recovery of riparian habitats of the Ter River","Riparia-Ter - Recovery of riparian habitats of the Ter River",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity",No,,"Revetmens with local species,Control of invasive species",,,"Improve forest management and agricultural",,
"Case study:River restoration in the irrigation area Lobón (Badajoz)","River restoration in the irrigation area Lobón (Badajoz)",Spain,Complete,"Habitat and biodiversity,Hydromorphology,Monitoring,Social benefits",No,"Revetmens with local species","Removal of sediments,Silvicultural treatments",,,"Monitoring strategy,Legal advice","Information panels for people",
"Case study:River restoration project in Congost between the torrent of Malhivern and end of the municipality of La Garriga","River restoration project in Congost between the torrent of Malhivern and end of the municipality of La Garriga",Spain,Complete,"Habitat and biodiversity,Water quality",No,"New bioengineering elements in order to stabilize slope banks,Removal of rip-rap","Removal of exotic plants",,,,,
"Case study:River restoration project in Sella, Asturias","River restoration project in Sella, Asturias",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Social benefits",No,"Revetmens with local species,New bioengineering elements in order to stabilize slope banks,Removal of rip-rap","Removal of sediments,Removal of exotic plants","Remove obstacles in the riverbed",,"Promotion and management of tourism in the river","Citizen participation in the restoration project",
"Case study:River restoration project of the stream of Vallvidrera","River restoration project of the stream of Vallvidrera",Spain,Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Hydromorphology",No,"New bioengineering elements in order to stabilize slope banks","Removal of exotic plants,Restoring riparian vegetation",,,,,
"Case study:Robledo de Chavela dam removal","Robledo de Chavela dam removal",Spain,Complete,"Social benefits,Water quality,Urban",No,"Dam removal,extraction and relocation of sediments,Delimitation of the channel with riprap,slope profiling,Reforestation of the riverbank",,,,"Capture and transfer of fish",,
"Case study:Room for the River","Room for the River",Netherlands,Complete,"Habitat and biodiversity,Water quality",Yes,"Removal of revetments,Reduction of bank slope",,,,,,"Information provision,Consultation,Participation in works,Participation in design"
"Case study:Route water: environmental restoration project for tourist use","Route water: environmental restoration project for tourist use",Spain,Complete,"Habitat and biodiversity,Social benefits",No,,"Removal of exotic plants,Restoring riparian vegetation","Morphology of the bed altered",,"Recovery of the old mill",,
"Case study:SCI Parga-Ladra-Támoga: recovery of bog woodland and dystrophic lake","SCI Parga-Ladra-Támoga: recovery of bog woodland and dystrophic lake",Spain,Complete,,No,"Removal of revetments,Depth variation,Revetmens with local species",,,,,"Awareness raising",
"Case study:Shaping and protecting water-mud biotopes in Garwolin Forest division through development of small retention","Shaping and protecting water-mud biotopes in Garwolin Forest division through development of small retention",Poland,Complete,"Environmental flows and water resources,Habitat and biodiversity",No,"Installation of damming valves,Creation of islands,Creation of irregular shaped shore line",,,,,,
"Case study:Small Retention - Big Deal, A National Program on Natural Small Water Retention Measures","Small Retention - Big Deal, A National Program on Natural Small Water Retention Measures",Poland,Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Land use management - agriculture,Land use management - forestry,Spatial planning,Urban",Yes,"Construction of dams,construction of small retention facilities,Planting forest,Creation of ponds,Creation of stone tresholds",,,,,,
"Case study:Strengthening associated biodiversity of habitat 92A0 and control of Invasive Alien Species in the Segura River (LIFE + Ripisilvanatura)","Strengthening associated biodiversity of habitat 92A0 and control of Invasive Alien Species in the Segura River (LIFE + Ripisilvanatura)",Spain,Complete,"Habitat and biodiversity,Hydromorphology,Land use management - agriculture,Monitoring",No,"Planting of native species,Removal of invasive plants,Restoring riparian vegetation,Structuring of shoreline","Alloctone species control,Vegetation management",,,"Management of undesirable plant species,Implementation of best practice land & soil management,Promotion of riparian vegetation and natural re-growth of bankside,Riparian tree planting,Removal of invasive species","Volunteer engagement,Creation of a Land Stewardship Network,Community education (talks and workshops)",
"Case study:Sustainable management, at local level, of the alluvial aquifer of the River Tordera, through the reuse of waste water","Sustainable management, at local level, of the alluvial aquifer of the River Tordera, through the reuse of waste water",Spain,Complete,"Environmental flows and water resources,Social benefits,Water quality",No,,"Creation of an infiltration lagoon,Habitat creation",,,,"Community consultation",
"Case study:The Manzanares River Restoration: Demolition of an obsolete dam and riverine ecosystem rehabilitation","The Manzanares River Restoration: Demolition of an obsolete dam and riverine ecosystem rehabilitation",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"Bank stabilisation,Dam removal","Riparian planting",,,,,
"Case study:The San Marcos weir removal","The San Marcos weir removal",Spain,Complete,"Environmental flows and water resources,Flood risk management,Hydropower,Urban",No,"Creation of fish pass,Partial weir removal",,,,"Materials removed from the weir were used to fill the pool produced downstream the weir,diminishing the erosion of the river bed",,
"Case study:The Upper Raba River Spawning Grounds","The Upper Raba River Spawning Grounds",Poland,"In progress","Habitat and biodiversity",No,,,,,,,
"Case study:Traditioneel Beekherstel Koffiegoot","Traditioneel Beekherstel Koffiegoot",Netherlands,Complete,"Flood risk management,Habitat and biodiversity,Land use management - forestry,Monitoring",No,,"Vermoerassing/de beek het bos ingestuurd",,,,,
"Case study:Tungelroyse beek","Tungelroyse beek",Netherlands,Complete,"Environmental flows and water resources,Habitat and biodiversity,Land use management - agriculture",No,"Creation of fish passes",,Re-meandering,"Fish by-pass channel,improvement of structure of agricultural land",,"Citizen participation in the restoration project,Conditioning roads,Creation of a working group and an advisory board were established with representatives from local and national authorities and NGOs.",
"Case study:Updated project for the “Environmental Restoration and Urban and Landscape Planning of Cabra River’s High Section (Cordoba)","Updated project for the “Environmental Restoration and Urban and Landscape Planning of Cabra River’s High Section (Cordoba)",Spain,"In progress","Social benefits,Spatial planning",No,"hydrological recovery actions (stabilization of slopes and recovery of margins witch present erosion problems).","planting of autochthonous vegetation (elms,poplars,ashes,willows,tarajes,figs ...) along the most degraded banks; silvicultural treatments of riverside vegetation and plantations; cleaning and removal of waste; improve the longitudinal and transverse continuity of the river,extending the width of the banks and creating a fluvial corridor",,"recreational use (construction of footpaths,promenades and footbridges,and also recreational areas integrated into the river area,improving the population education and connection with their environmental heritage)",,,
"Case study:Vallacuera Ravine. Removal of a dyke","Vallacuera Ravine. Removal of a dyke",Spain,Complete,"Fisheries,Flood risk management,Habitat and biodiversity,Land use management - agriculture",No,"New bioengineering elements in order to stabilize slope banks","Removal of exotic plants,Conditioning access to properties and pedestrian paths,Habitat creation","Removal of a dyke",,"Reduce the risk of flooding downstream",,
"Case study:Vreugderijkerwaard side channel","Vreugderijkerwaard side channel",Netherlands,Complete,"Habitat and biodiversity,Monitoring,Social benefits,Water quality",No,"Decrease sedimentation","Creation of side channel","Increase river dynamics,Re-connect tributaries to main channel",,,,
"Case study:Weir demolition in river Nansa, Cantabria","Weir demolition in river Nansa, Cantabria",Spain,Complete,"Environmental flows and water resources,Fisheries,Habitat and biodiversity",No,"Weir removal",,,,,,
"Case study:Works of improvement in final stretch of the Riera of Vallcorba, Sant Quirze del Vallès","Works of improvement in final stretch of the Riera of Vallcorba, Sant Quirze del Vallès",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Water quality",No,"New bioengineering elements in order to stabilize slope banks,Removal of concrete banks and bed,Bank reprofiling,Gabion bed",,,,,,
"Case study:Zújar river restoration in the reach between the Chapel of St Mary of Zújar and the ford of ""Entrerríos"", Badajoz.","Zújar river restoration in the reach between the Chapel of St Mary of Zújar and the ford of ""Entrerríos"", Badajoz.",Spain,Complete,,No,,,,,"DPH recovery by removal of fences and barriers that restrict access to the river",,
"Case study:Zújar river restoration in the reach between the dam and the ford of ""El Espolón"" , Badajoz.","Zújar river restoration in the reach between the dam and the ford of ""El Espolón"" , Badajoz.",Spain,Complete,,No,,"Creation of wetland",,"Recovering natural landscapes","DPH recovery by removal of fences and barriers that restrict access to the river",,
"Case study:Zújar river restoration in the reach between the ford of ""El Espolón"" and the Chapel of St Mary of Zújar , Badajoz.","Zújar river restoration in the reach between the ford of ""El Espolón"" and the Chapel of St Mary of Zújar , Badajoz.",Spain,Complete,,No,,,,,"DPH recovery by removal of fences and barriers that restrict access to the river",,
"Case study:Zújar river restoration in the reach between the ford of ""Entrerríos"" and its mouth, Badajoz.","Zújar river restoration in the reach between the ford of ""Entrerríos"" and its mouth, Badajoz.",Spain,Complete,,No,,"Creation of wetland",,"Recovering natural landscapes",,,
